source,objectid,parentid,filename,identifier,title,date,description,subject,location,format,type,language,creator,displaytemplate,object_location,image_small,image_thumb,image_alt_text,rights,rightsstatement
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard039,,75-1.jpg,75-1,Barbershop Harmony: America's Folk Art,1982-11-27,Lewiston Tribune editorial by Guy Trotter giving a brief history of barbershop harmony as a distinctive American form of music.,Barbershop quartets; Singing; Barbershop harmony; Guy Trotter,Unknown,image/jpeg,clippings,en,Guy Trotter; Lewiston Tribune,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8219,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8219&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard040,,74-3.jpg,74-3,Concert led by New Director,1982-6-13,"Announcement of debut of New Director, Donald M. Gay, outdoor concert at Lewis-Clark State College.",Donald Gay; Concerts; Lewis-Clark State College Summer Entertainment series,"Lewis-Clark State College, College Union Building",image/jpeg,clippings,en,Lewiston Tribune,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8218,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8218&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard041,,73-5.jpg,73-5,Snake River Rogues,1982?,Snake River Rogues serenading at Downtown Lewiston Crazy Days. (1982?),Lewiston Crazy Days; Barbershop Quartets; Events; Festivals,Unknown,image/jpeg,Color Photograph,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8216,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8216&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard042,,66-1.jpg,66-1,Concert Advertisement,1981-10-18,Advertisement for Barbershop Quartet concert at Lewiston High School Auditorium.,Advertising,Lewiston High School Auditorium,image/jpeg,Advertisement,en,Lewiston Tribune; Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8213,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8213&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard043,,66-2.jpg,66-2,Two Good Nights of Singing,1981-10-17,"Editorials by Guy Trotter informing readers of the existence of the ""Confluence of Note"".",Editorials; Barbershop Quartets; Singing-history; Guy Trotter,Unknown,image/jpeg,clippings,en,Lewiston Tribune; Guy Trotter,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8214,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8214&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard044,,21-1.jpg,21-1,Letter of Official Designation,5-28-1980,Correspondence from SPEBSQSA informing Lewis-Clark chapter of official approval as a legitimate chapter.,Correspondence; SPEBSQSA ;,Unknown,image/jpeg,Photographs;,en,SPRBSQSA,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8205,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8205&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard045,,56-1.jpg,56-1,"Division Contest In Spokane, WA",1983-4-14,"Placed 6th out of 7 contesting Choruses - Score 279. 4th Row: Harold ""Mossy"" Mosman, Vance Vallandigham, Llyod Bosserman, Art Shultz, Terry Svingen, Roger Tutty, Martin Riggers, Henry Bangert. 3rd Row: E.M. ""Doc"" Wygant, ""J.O."" McMains, Bill Cousins, Tom Moore, Bill Totten, Dick Young, Glen Ayres. 2nd Row: Bob Golla, Bill Wikerson, Dale Vallandigham, Steve Minnich, Charlie Kiljanczyk, Gene Hagedorn, Wes Sorenson. 1st Row: Marlin Brinkley, Vic Deering, Guy Trotter, John Henderson (Director), Jerry Gilbert, John Nordgaard, Fred Nordgaard.",Barborshop Quartets; Contests;,Unknown,image/jpeg,Color Photographs,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8210,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8210&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Fred Nordgaard Barbershop Quartet Scrapbooks, Lewiston City Library Special Collection",nordgaard046,,74-1.jpg,74-1,Concert Benefits Band Trip,1982-5-18,"Lewiston Tribune newspaper clipping highlighting the ""Confluence of Note"" as one of the acts at a ""Musical Variety"" benefit concert for Jenifer Junior High band's travel fund.",Clippings; Barborshop Quartets; Community service; School field trips;,Unknown,image/jpeg,Clippings;,en,Fred Nordgaard,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8217,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8217&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom001,,Engstrom_Photo_1.jpg,Engstrom Photo #1,Catholic School Children And Teachers,Unknown; possibly circa 1880,"The Catholic school children and teachers, located on Fifth Avenue where the Hahn Plumbing Shop now stands, and near D Street.",Early Lewiston Schools,Unknown,image/jpeg,Black and White Photo,en,Engstrom Photo Studio ?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8255,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8255&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom002,,Engstrom_Photo_2.jpg,Engstrom Photo #2,Early Lewiston Buildings,cir 1886,"The first Lewiston Normal School building dedicated June 3, 1986.",Lewiston State Normal School,Unknown,image/jpeg,Sketch,en,Engstrom Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1028,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1028&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom003,,Engstrom_Photo_3.jpg,Engstrom Photo #3,Lewiston Territorial Buildings,cir. 1900?,The second story is where the first Masonic Lodge in Idaho was organized and it was used for the committee room of the Lower House of the Territorial Legislature.,Masonic Lodge in Idaho,Unknown,image/jpeg,Sketch,en,Engstrom Photo Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1030,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1030&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom004,,Engstrom_Photo5.jpg,Engstrom Photo #5,Early Lewiston Buildings: Territorial Senate meetings,Unknown. circa 1860,Building in which the Territorial Senate met and in which the Capital Removal trial was held--located on C Street or alley running through Newell Addition.,Lewiston Buildings,Unknown,image/jpeg,Sketch,en,Unknown. Engstrom Studio?,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8258,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8258&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom005,engstrom004,Early_Lewiston_Buildings_Territorial_Senate_meetings.jpg,Early Lewiston Buildings: Territorial Senate meetings,Early Lewiston Buildings: Territorial Senate meetings,Unknown. circa 1860,Building in which the Territorial Senate met and in which the Capital Removal trial was held--located on C Street or alley running through Newell Addition.,Lewiston Buildings,Unknown,image/jpeg,Sketch,en,Unknown. Engstrom Studio?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1035,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1035&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom006,,Engstrom6.jpg,Engstrom#6,Early Lewiston Buildings,1878?,On First Street beginning with the large building the Weisgerber Brewery and the next house south is the Corburn Building and the two-story building of this is where the Masonic Lodge is located upstairs 1878.,Lewiston Buildings,Unknown,image/jpeg,Black & White Photography,en,Unknown: Engstrom Studio?,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8259,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8259&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom007,engstrom006,Early_Lewiston_Buildings.jpg,Early Lewiston Buildings,Early Lewiston Buildings,1878?,On First Street beginning with the large building the Weisgerber Brewery and the next house south is the Corburn Building and the two-story building of this is where the Masonic Lodge is located upstairs 1878.,Lewiston Buildings,Unknown,image/jpeg,Black & White Photography,en,Unknown: Engstrom Studio?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1025,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1025&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom008,,Engstrom_7.jpg,Engstrom #7,"Plat of the City of Lewiston,1874 Downtown Section 1874",1874,"Plat of the city of Lewiston Nez Perce County, Idaho from field notes of official survey of Aug 1874. Approved June 22nd 1875. Henry W. Stainton Mayor, Trustee.",Early Lewiston Maps,Unknown,image/jpeg,Plats,en,Unknown,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8262,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8262&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom009,engstrom008,"Plat_of_the_City_of_Lewiston,1874_Downtown_Section_1874.jpg","Plat of the City of Lewiston,1874 Downtown Section 1874","Plat of the City of Lewiston,1874 Downtown Section 1874",1874,"Plat of the city of Lewiston Nez Perce County, Idaho from field notes of official survey of Aug 1874. Approved June 22nd 1875. Henry W. Stainton Mayor, Trustee.",Early Lewiston Maps,Unknown,image/jpeg,Plats,en,Unknown,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1022,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1022&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom010,,Engstrom_8.jpg,Engstrom #8,"Plat of the City of Lewiston, Hill Section 1874",1874,"Plat (south portion of) City of Lewiston, Nez Perce County, Idaho. Official Survey of Aug. 1874 E B True MA, Survey et. al. Approved June 22, 1875 Henry W. Stainton Mayor.",Early Lewiston Maps,Unknown,image/jpeg,Plats,en,"E. B. True; Approved Henry W. Station, Mayor",multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8263,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8263&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom011,engstrom010,"Plat_of_the_City_of_Lewiston,_Hill_Section_1874.jpg","Plat of the City of Lewiston, Hill Section 1874","Plat of the City of Lewiston, Hill Section 1874",1874,"Plat (south portion of) City of Lewiston, Nez Perce County, Idaho. Official Survey of Aug. 1874 E B True MA, Survey et. al. Approved June 22, 1875 Henry W. Stainton Mayor.",Early Lewiston Maps,Unknown,image/jpeg,Plats,en,"E. B. True; Approved Henry W. Station, Mayor",image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1026,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1026&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom012,,Engstrom_9.jpg,Engstrom #9,Lewiston Buildings,Unknown; Circa 1863,The Capital of Idaho Territory located on Third Street facing east and on the second block from C Street.,First Territorial Capital Buildings in Lewiston,Unknown,image/jpeg,Black & White Photograph,en,Unknown,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8264,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8264&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom013,engstrom012,Lewiston_Buildings.jpg,Lewiston Buildings,Lewiston Buildings,Unknown; Circa 1863,The Capital of Idaho Territory located on Third Street facing east and on the second block from C Street.,First Territorial Capital Buildings in Lewiston,Unknown,image/jpeg,Black & White Photograph,en,Unknown,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1023,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1023&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom014,,Engstrom10.jpg,Engstrom#10,Early Lewiston Images,Unknown; Engstrom Photo Studio,"Lewiston in ""Steamboat Days"". (ca.1900?)",Lewiston Steamboat Days,Unknown,image/jpeg,Blzck & White Photograph,en,Unknown,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8260,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8260&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom015,engstrom014,Early_Lewiston_Images.jpg,Early Lewiston Images,Early Lewiston Images,Unknown; Engstrom Photo Studio,"Lewiston in ""Steamboat Days"". (ca.1900?)",Lewiston Steamboat Days,Unknown,image/jpeg,Blzck & White Photograph,en,Unknown,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1033,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1033&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom016,,Engstrom_11.jpg,Engstrom #11,Booth Flour Mill,Unknown; circa 1863,One of the first grain mills in town- located on First Street south of Masonic Hall.,First Grain Mill,Unknown,image/jpeg,Black & White Photograph,en,Unknown; Engstrom Photo Studio,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8248,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8248&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom017,engstrom016,Booth_Flour_Mill.jpg,Booth Flour Mill,Booth Flour Mill,Unknown; circa 1863,One of the first grain mills in town- located on First Street south of Masonic Hall.,First Grain Mill,Unknown,image/jpeg,Black & White Photograph,en,Unknown; Engstrom Photo Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1018,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1018&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom018,,Engstrom_12.jpg,Engstrom #12,Sketch Of Idaho and its Counties,Unknown; circa 1863,Sketch of Idaho and its counties.,Early Lewiston Maps,Unknown,image/jpeg,Black & White Photograph,en,Unknown;Engstrom Photo Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8249,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8249&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom019,,Engstrom_14.jpg,Engstrom #14,Lewistons First School,Unknown; circa 1876,First Lewiston School building on the corner of Third and C Street facing north.,Early Lewiston School,Unknown,image/jpeg,Black & White Photograph,en,Unknown; Engstrom Photo Studio,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8251,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8251&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom020,engstrom019,Lewistons_First_School.jpg,Lewistons First School,Lewistons First School,Unknown; circa 1876,First Lewiston School building on the corner of Third and C Street facing north.,Early Lewiston School,Unknown,image/jpeg,Black & White Photograph,en,Unknown; Engstrom Photo Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1024,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1024&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom021,,Engstrom_15.jpg,Engstrom #15,Early Lewiston Buildings,Unknown; circa 1863,Courthouse was located on the alley in Newell Addition facing west on the present site of the Lewis-Clark Hotel.,Nez Perce's First Courthouse,Unknown,image/jpeg,Black and White Photograph,en,Unknown; Engstrom Photo studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8252,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8252&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom022,,Engstrom_16.jpg,Engstrom #16,Early Lewiston Buildings: Luna House,Unknown; circa 1863,"Luna House, Lewiston early-day hotel located on second lot east of Third Street facing north.",Early Lewiston Hotel,Unknown,image/jpeg,Black and White Photography,en,Unknown; Engsrom Photo Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8253,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8253&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom023,,Engstrom17.jpg,Engstrom#17,Plat of the City of Lewiston,Unknown;Circa 1862,Plat of Lewiston.,Plat of Lewiston,Unknown,image/jpeg,Black and White Photograph,en,Unknown; Engstrom Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8261,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8261&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom024,,p151201coll12_20_full.jpg,p151201coll12_20_full,Early Lewiston Buildings: Clark Hall,1942?,Clark Hall. Located on the corner of Third and C Street facing north - now the north end of the Bollinger Hotel. (now gone),Lewiston Buildings,Unknown,image/jpeg,TGM II,en,Engstrom Studio,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8201,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8201&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom025,engstrom024,Early_Lewiston_Buildings_Clark_Hall.jpg,Early Lewiston Buildings: Clark Hall,Early Lewiston Buildings: Clark Hall,1942?,Clark Hall. Located on the corner of Third and C Street facing north - now the north end of the Bollinger Hotel. (now gone),Lewiston Buildings,Unknown,image/jpeg,TGM II,en,Engstrom Studio,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1021,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1021&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom026,,Engstrom_13.jpg,Engstrom #13,Catholic Church and School,ca. 1900?,The Catholic Church and school. Church was built in 1867 - location of present Hahn building.,Early Lewiston Schools,Unknown,image/jpeg,Black and White Photograph,en,Unknown,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8250,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8250&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom027,engstrom026,Catholic_Church_and_School.jpg,Catholic Church and School,Catholic Church and School,ca. 1900?,The Catholic Church and school. Church was built in 1867 - location of present Hahn building.,Early Lewiston Schools,Unknown,image/jpeg,Black and White Photograph,en,Unknown,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1019,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1019&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom028,,Engstrom_18.jpg,Engstrom #18,Teachers and Children of an early Catholic School,ca. 1900?,Teachers and children of an early Catholic school.,Early Lewiston Schools,Unknown,image/jpeg,Black & White Photograph,en,Unknown,multiple,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8254,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8254&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"Engstrom Photo Studio, Lewiston City Library Special Collection",engstrom029,engstrom028,Teachers_and_Children_of_an_early_Catholic_School.jpg,Teachers and Children of an early Catholic School,Teachers and Children of an early Catholic School,ca. 1900?,Teachers and children of an early Catholic school.,Early Lewiston Schools,Unknown,image/jpeg,Black & White Photograph,en,Unknown,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1034,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=1034&thumbnailSize=Thumb150x150,,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall001,,APRIL_1912-_Construction_in_progress_interior.jpg,APRIL 1912- Construction in progress (interior),April 1912- Construction in progress (interior),1912-04/1979?,The interior of Lewiston City Hall while it was under construction. 647x480,buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8419,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8419&thumbnailSize=Thumb150X150,"Black and white photo of the inside of a building with unfinished walls and floors, and a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall002,,"APRIL_1912-_Construction_in_progress_interior,_facing_exit.jpg","APRIL 1912- Construction in progress (interior, facing exit)","April 1912- Construction in progress (interior, facing exit)",1912-04/1979?,The interior of Lewiston City Hall while it was under construction. 647x480,buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8419,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8419&thumbnailSize=Thumb150X150,"Black and white photo of the inside of a building with unfinished walls and floors, and construction materials visible. There is a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall003,,APRIL_1978-_66_years_later_Looking_Southwest.jpg,APRIL 1978- 66 years later (Looking Southwest),APRIL 1978- 66 years later (Looking Southwest),1978-04/1979?,The exterior of Lewiston City Hall as it appeared in April 1978. 659x480,buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8420,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8420&thumbnailSize=Thumb150X150,"A photo of the front exterior of the Lewiston City Hall, with the text 'City of Lewiston' visible on the front of the building. There are trees, a flagpole, and a parked car in the foreground.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
