source,objectid,filename,identifier,title,date,description,subject,location,format,type,language,creator,object_location,image_small,image_thumb,rights,rightsstatement,,publisher_digital,date_scanned
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence34,123-2.jpg,123-2,"Hatton Coulee Rest Stop, Labor Day, 1991",1991-9-4,"Hatton Coulee Rest Stop, Labor Day weekend, 1991. Serving coffee & cookies for donation. Open 24 hours a day from Friday-Monday. Lots of work but lots of fun eating, singing and socializing. Donations grossed $2068.08!",Barbershop quartets; Community service,Hatton Coulee Rest Stop,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8232,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8232,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8232&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence35,124-5.jpg,124-5,"Barbershopper of the year award, 1992",1992,"President Orrin Iseminger presenting Fred Nordgaard the ""Barbershopper of the Year"" plaque and lapel pin for 1992. Fred also received the award in 1980.",Awards;,Unknown,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/imagerepository/document?documentid=8233,https://www.cityoflewiston.org/imagerepository/document?documentid=8233,https://www.cityoflewiston.org/imagerepository/document?documentid=8233&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence36,132-1.jpg,132-1,"Installation of Officers, 1993",1993-1-23,"Installation of officers held at the Helm Restaurant, January 1993. Outgoing President Orrin Iseminger and Cathy Iseminger.",Installation of officers,Helm Restaurant,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8240,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8240,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8240&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence37,132-3.jpg,132-3,"Installation of Officers, 1993",1993-1-23,"Installation of officers taking place at the Helm Restaurant, January 1993. Incoming President Jerry Hanowell and Gail Hanowell.",Installation of Officers,Helm Restaurant,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8241,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8241,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8241&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence38,83-1.jpg,83-1,"Group Photograph, Division II Competition",1984-12-31,"Group photograph, ""Confluence of Note"" at Division II Competition, March 31, 1984 at Coeur d'Alene, Idaho. From L to R beginning with Row 4: Bill Cousins, Jerry Hanowell, Art Schultz, Vic Deering, Lee Wade, Martin Riggers, E.L. ""Stan"" Stanley; Row 3: Vance Vallandigham, Del Collier, J.O. McMains, Tom Moore, Roger Tutty, Bill Wilkerson; Row 2: Gary Sewell, Henry Bangert, Glenn Ayres, Lloyd Bosserman, Charlie Kiljanczyk; Row 1: Gene Hagedorn, Fred Nordgaard, Don Gay (Director), John Nordgaard, Dale Vallandigham",Contests,Unknown,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs; Group portraits;,en-US,Floyd's Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8227,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8227,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8227&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence39,75-1.jpg,75-1,Barbershop Harmony: America's Folk Art,1982-11-27,Lewiston Tribune editorial by Guy Trotter giving a brief history of barbershop harmony as a distinctive American form of music.,Barbershop quartets; Singing; Barbershop harmony; Guy Trotter,Unknown,Scanned on CanoScan 4400F scanner @ 300dpi,clippings,en-US,Guy Trotter; Lewiston Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8219,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8219,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8219&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2008-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence40,74-3.jpg,74-3,Concert led by New Director,1982-6-13,"Announcement of debut of New Director, Donald M. Gay, outdoor concert at Lewis-Clark State College.",Donald Gay; Concerts; Lewis-Clark State College Summer Entertainment series,"Lewis-Clark State College, College Union Building",Scanned on CanoScan 4400F @ 300dpi,clippings,en-US,Lewiston Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8218,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8218,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8218&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence41,73-5.jpg,73-5,"""Snake River Rogues""",1982?,"""Snake River Rogues"" serenading at Downtown Lewiston Crazy Days. (1982?)",Lewiston Crazy Days; Barbershop Quartets; Events; Festivals,Unknown,Scanned on CanoScan 4400F scanner @ 75dpi,Color Photograph,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8216,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8216,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8216&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence42,66-1.jpg,66-1,Concert Advertisement,1981-10-18,Advertisement for Barbershop Quartet concert at Lewiston High School Auditorium.,Advertising,Lewiston High School Auditorium,Scanned on Canon CanoScan scanner @ 300dpi,Advertisement,en-US,Lewiston Tribune; Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8213,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8213,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8213&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence43,66-2.jpg,66-2,"""Two Good Nights of Singing""",1981-10-17,"Editorials by Guy Trotter informing readers of the existence of the ""Confluence of Note"".",Editorials; Barbershop Quartets; Singing-history; Guy Trotter,Unknown,,clippings,en-US,Lewiston Tribune; Guy Trotter,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8214,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8214,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8214&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence44,21-1.jpg,21-1,Letter of Official Designation,5-28-1980,Correspondence from SPEBSQSA informing Lewis-Clark chapter of official approval as a legitimate chapter.,Correspondence; SPEBSQSA ;,Unknown,Scanned 2 300 dpi on CanaScan 4400f scanner,Photographs;,en-US,SPRBSQSA,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8205,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8205,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8205&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,4-21-2009
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence45,56-1.jpg,56-1,"Division Contest In Spokane, WA",1983-4-14,"Placed 6th out of 7 contesting Choruses - Score 279. 4th Row: Harold ""Mossy"" Mosman, Vance Vallandigham, Llyod Bosserman, Art Shultz, Terry Svingen, Roger Tutty, Martin Riggers, Henry Bangert. 3rd Row: E.M. ""Doc"" Wygant, ""J.O."" McMains, Bill Cousins, Tom Moore, Bill Totten, Dick Young, Glen Ayres. 2nd Row: Bob Golla, Bill Wikerson, Dale Vallandigham, Steve Minnich, Charlie Kiljanczyk, Gene Hagedorn, Wes Sorenson. 1st Row: Marlin Brinkley, Vic Deering, Guy Trotter, John Henderson (Director), Jerry Gilbert, John Nordgaard, Fred Nordgaard.",Barborshop Quartets; Contests;,Unknown,Scanned on HP 6200C scanner @ 75 dpi,Color Photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8210,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8210,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8210&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2009-5-14
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence46,74-1.jpg,74-1,Concert Benefits Band Trip,1982-5-18,"Lewiston Tribune newspaper clipping highlighting the ""Confluence of Note"" as one of the acts at a ""Musical Variety"" benefit concert for Jenifer Junior High band's travel fund.",Clippings; Barborshop Quartets; Community service; School field trips;,Unknown,Scanned on HP 6200C scanner @ 75 dpi,Clippings;,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8217,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8217,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8217&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2009-5-14
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence47,Engstrom Photo #1.jpg,Engstrom Photo #1,Catholic School Children And Teachers,Unknown; possibly circa 1880,"The Catholic school children and teachers, located on Fifth Avenue where the Hahn Plumbing Shop now stands, and near D Street.",Early Lewiston Schools,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black and White Photo,en-US,Engstrom Photo Studio ?,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8255,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8255,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8255&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence48,Engstrom Photo #2.jpg,Engstrom Photo #2,Early Lewiston Buildings,cir 1886,"The first Lewiston Normal School building dedicated June 3, 1986.",Lewiston State Normal School,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Sketch,en-US,Engstrom Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8256,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8256,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8256&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence49,Engstrom Photo #3.jpg,Engstrom Photo #3,Lewiston Territorial Buildings,cir. 1900?,The second story is where the first Masonic Lodge in Idaho was organized and it was used for the committee room of the Lower House of the Territorial Legislature.,Masonic Lodge in Idaho,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Sketch,en-US,Engstrom Photo Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8257,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8257,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8257&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence50,Engstrom Photo #5.jpg,Engstrom Photo #5,Early Lewiston Buildings: Territorial Senate meetings,Unknown. circa 1860,Building in which the Territorial Senate met and in which the Capital Removal trial was held--located on C Street or alley running through Newell Addition.,Lewiston Buildings,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Sketch,en-US,Unknown. Engstrom Studio?,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8258,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8258,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8258&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence51,Engstrom#6.jpg,Engstrom#6,Early Lewiston Buildings,1878?,On First Street beginning with the large building the Weisgerber Brewery and the next house south is the Corburn Building and the two-story building of this is where the Masonic Lodge is located upstairs 1878.,Lewiston Buildings,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photography,en-US,Unknown: Engstrom Studio?,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8259,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8259,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8259&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence52,Engstrom #7.jpg,Engstrom #7,"Plat of the City of Lewiston,1874 Downtown Section 1874",1874,"Plat of the city of Lewiston Nez Perce County, Idaho from field notes of official survey of Aug 1874. Approved June 22nd 1875. Henry W. Stainton Mayor, Trustee.",Early Lewiston Maps,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Plats,en-US,Unknown,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8262,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8262,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8262&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence53,Engstrom #8.jpg,Engstrom #8,"Plat of the City of Lewiston, Hill Section 1874",1874,"Plat (south portion of) City of Lewiston, Nez Perce County, Idaho. Official Survey of Aug. 1874 E B True MA, Survey et. al. Approved June 22, 1875 Henry W. Stainton Mayor.",Early Lewiston Maps,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Plats,en-US,"E. B. True; Approved Henry W. Station, Mayor",https://www.cityoflewiston.org/ImageRepository/Document?documentID=8263,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8263,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8263&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence54,Engstrom #9.jpg,Engstrom #9,Lewiston Buildings,Unknown; Circa 1863,The Capital of Idaho Territory located on Third Street facing east and on the second block from C Street.,First Territorial Capital Buildings in Lewiston,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photograph,en-US,Unknown,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8264,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8264,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8264&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence55,Engstrom#10.jpg,Engstrom#10,Early Lewiston Images,Unknown; Engstrom Photo Studio,"Lewiston in ""Steamboat Days"". (ca.1900?)",Lewiston Steamboat Days,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Blzck & White Photograph,en-US,Unknown,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8260,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8260,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8260&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence56,Engstrom #11.jpg,Engstrom #11,Booth Flour Mill,Unknown; circa 1863,One of the first grain mills in town- located on First Street south of Masonic Hall.,First Grain Mill,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photograph,en-US,Unknown; Engstrom Photo Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8248,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8248,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8248&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence57,Engstrom #12.jpg,Engstrom #12,Sketch Of Idaho and its Counties,Unknown; circa 1863,Sketch of Idaho and its counties.,Early Lewiston Maps,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photograph,en-US,Unknown;Engstrom Photo Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8249,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8249,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8249&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence58,Engstrom #14.jpg,Engstrom #14,Lewistons First School,Unknown; circa 1876,First Lewiston School building on the corner of Third and C Street facing north.,Early Lewiston School,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photograph,en-US,Unknown; Engstrom Photo Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8251,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8251,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8251&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence59,Engstrom #15.jpg,Engstrom #15,Early Lewiston Buildings,Unknown; circa 1863,Courthouse was located on the alley in Newell Addition facing west on the present site of the Lewis-Clark Hotel.,Nez Perce's First Courthouse,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black and White Photograph,en-US,Unknown; Engstrom Photo studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8252,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8252,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8252&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence60,Engstrom #16.jpg,Engstrom #16,Early Lewiston Buildings: Luna House,Unknown; circa 1863,"Luna House, Lewiston early-day hotel located on second lot east of Third Street facing north.",Early Lewiston Hotel,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black and White Photography,en-US,Unknown; Engsrom Photo Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8253,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8253,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8253&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence61,Engstrom#17.jpg,Engstrom#17,Plat of the City of Lewiston,Unknown;Circa 1862,Plat of Lewiston.,Plat of Lewiston,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black and White Photograph,en-US,Unknown; Engstrom Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8261,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8261,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8261&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence62,p151201coll12_20_full.jpg,p151201coll12_20_full,Early Lewiston Buildings: Clark Hall,1942?,Clark Hall. Located on the corner of Third and C Street facing north - now the north end of the Bollinger Hotel. (now gone),Lewiston Buildings,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,TGM II,en-US,Engstrom Studio,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8201,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8201,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8201&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence63,Engstrom #13.jpg,Engstrom #13,Catholic Church and School,ca. 1900?,The Catholic Church and school. Church was built in 1867 - location of present Hahn building.,Early Lewiston Schools,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black and White Photograph,en-US,Unknown,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8250,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8250,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8250&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
"Engstrom Photo Studio, Lewiston City Library Special Collection",confluence64,Engstrom #18.jpg,Engstrom #18,Teachers and Children of an early Catholic School,ca. 1900?,Teachers and children of an early Catholic school.,Early Lewiston Schools,Unknown,Scanned on Cano Scan 440F scanner@300 dpi,Black & White Photograph,en-US,Unknown,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8254,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8254,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8254&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
